ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_1332,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_1333,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","Boolean","Login","WiFi","Boolean","It is part of Pascal language keywords."
q_1334,"Web Development","Which HTML tag is used to create a hyperlink?","{code}","<a>","<invalid>","[link]","<a>","HTML tags start with < and end with >."
q_1335,"Data Representation","Which storage unit is valid and commonly used?","Volt","Hertz","Bit","Pixel","Bit","Think about file sizes (KB, MB, GB)."
q_1336,"Operating Systems","Which utility software is essential for system maintenance?","Backup Software","Chrome","Photoshop","MS Word","Backup Software","Think about managing resources and maintenance."
q_1337,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","USB","OR","OR","Logic gates operate on TRUE/FALSE values."
q_1338,"Databases","In a database, what does the term 'Record' refer to?","A database structural element","A web browser","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1339,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Program","System32","WiFi","Login","Program","It is part of Pascal language keywords."
q_1340,"Health/Security","Which of the following is a cyber security threat?","Firewall","Backup","Hacking","Antivirus","Hacking","Threats are malicious software or attacks."
q_1341,"Networking","Which term is related to computer networking?","Printer","Monitor","Keyboard","TCP/IP","TCP/IP","It relates to connectivity or web addresses."
q_1342,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","Login","Begin","WiFi","Begin","It is part of Pascal language keywords."
q_1343,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","CPU Architecture","Smart Agriculture","Pascal Syntax","Smart Agriculture","Think about how technology helps society."
q_1344,"ICT Applications","The term 'E-Learning' is associated with which field?","ICT Applications","Networking","Data Representation","Logic Gates","ICT Applications","Think about how technology helps society."
q_1345,"Operating Systems","What is a primary function of an Operating System?","Emailing","File Management","Web Browsing","Photo Editing","File Management","Think about managing resources and maintenance."
q_1346,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Var","Login","WiFi","System32","Var","It is part of Pascal language keywords."
q_1347,"Networking","Which term is related to computer networking?","Keyboard","Monitor","TCP/IP","Printer","TCP/IP","It relates to connectivity or web addresses."
q_1348,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Electronic Transactions Act","Traffic Act","Forest Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_1349,"Health/Security","Which of the following is a cyber security threat?","Firewall","Backup","Antivirus","Software Piracy","Software Piracy","Threats are malicious software or attacks."
q_1350,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","WiFi","System32","For..Do","For..Do","It is part of Pascal language keywords."
q_1351,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Data Entry","Testing & Debugging","Gaming","Testing & Debugging","It is a step in building software."
q_1352,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Emailing","Web Browsing","Device Management","Device Management","Think about managing resources and maintenance."
q_1353,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_1354,"Web Development","Which HTML tag is used to create a table?","{code}","[link]","<invalid>","<table>","<table>","HTML tags start with < and end with >."
q_1355,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_1356,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Forest Act","Traffic Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_1357,"Hardware","Select the device used to send data INTO the computer:","Plotter","Plotter","Speaker","OCR Device","OCR Device","Input devices send data INTO the computer."
q_1358,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","OR","USB","SSD","OR","Logic gates operate on TRUE/FALSE values."
q_1359,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Testing & Debugging","Printing","Data Entry","Testing & Debugging","It is a step in building software."
q_1360,"Web Development","Which HTML tag is used to create a hyperlink?","<a>","{code}","[link]","<invalid>","<a>","HTML tags start with < and end with >."
q_1361,"Web Development","Which HTML tag is used to embed an image?","<invalid>","<img>","{code}","[link]","<img>","HTML tags start with < and end with >."
q_1362,"Data Representation","Which standard is used for character encoding?","HTTP","TCP/IP","HTML","ASCII","ASCII","It maps characters to numbers."
q_1363,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","Login","Var","System32","Var","It is part of Pascal language keywords."
q_1364,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Printing","Deployment","Deployment","It is a step in building software."
q_1365,"Web Development","Which HTML tag is used to define a large heading?","<h1>","<invalid>","[link]","{code}","<h1>","HTML tags start with < and end with >."
q_1366,"Web Development","Which HTML tag is used to create a hyperlink?","<invalid>","{code}","<a>","[link]","<a>","HTML tags start with < and end with >."
q_1367,"Databases","In a database, what does the term 'Form' refer to?","A network protocol","A hardware port","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_1368,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","Login","WiFi","Char","Char","It is part of Pascal language keywords."
q_1369,"Web Development","Which HTML tag is used to insert a line break?","{code}","[link]","<br>","<invalid>","<br>","HTML tags start with < and end with >."
q_1370,"Web Development","Which HTML tag is used to create a table?","[link]","<invalid>","<table>","{code}","<table>","HTML tags start with < and end with >."
q_1371,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Logic Gates","ICT Applications","Networking","Data Representation","ICT Applications","Think about how technology helps society."
q_1372,"Databases","In a database, what does the term 'Field' refer to?","A network protocol","A database structural element","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1373,"Web Development","Which HTML tag is used to define a large heading?","{code}","<invalid>","[link]","<h1>","<h1>","HTML tags start with < and end with >."
q_1374,"Databases","In a database, what does the term 'Foreign Key' refer to?","A web browser","A database structural element","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_1375,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Requirement Identification","Printing","Requirement Identification","It is a step in building software."
q_1376,"Data Representation","Which storage unit is valid and commonly used?","Megabyte (MB)","Hertz","Pixel","Volt","Megabyte (MB)","Think about file sizes (KB, MB, GB)."
q_1377,"Operating Systems","What is a primary function of an Operating System?","Device Management","Emailing","Web Browsing","Photo Editing","Device Management","Think about managing resources and maintenance."
